dim	coefficient
531	-1.2139995657503206
532	-1.2091948866795634
533	-1.149830883296866
534	-1.192497613134429
535	-1.2790738574663352
536	-1.0609716622795744
537	-1.2610625652226557
538	-1.1707199684987555
539	-1.2828793496810973
540	-1.332332350384398
541	-1.1437665313556513
542	-1.2315227904372466
543	-1.2246429271569101
544	-1.2317456273324745
545	-1.2253302852851826
546	-1.1492437107560993
547	-1.298343545087835
548	-1.2502962463978262
549	-1.1087178903021317
550	-1.176910669628187
551	-1.1524505199973993
552	-1.1388459079637285
553	-1.0958158518642507
554	-1.2637584761609364
555	-1.2581662313645534
556	-1.2225647036062202
557	-1.2803770225596924
558	-1.2367622666722793
559	-1.3068498510517539
560	-1.216269718058973
561	-1.2097401161603716
562	-1.181118988700154
563	-1.075392071317459
564	-1.199681919020555
565	-1.1961326607594462
566	-1.3185537992101426
567	-1.2969629450038989
568	-1.217541750326683
569	-1.2531142189483555
570	-1.0820915508155784
571	-1.1881186452088548
572	-1.1763966014304836
573	-1.0995998056883132
574	-1.1678468685847163
575	-1.1406195759100846
576	-1.208368836709219
577	-1.125948293223276
578	-1.1646467046534177
579	-1.2147606938447462
580	-1.1707983896229823
581	-1.2474274288914282
582	-1.195192099881707
583	-1.1527267940257824
584	-1.304018548970844
585	-1.1760760377395068
586	-1.0974848773091863
587	-1.2053838140740532
588	-1.4411814683785416
589	-1.2174928246307692
590	-1.1095080080050452
591	-1.323052634302818
592	-1.2191877963631674
593	-1.3138806733007145
594	-1.2407094422486864
595	-1.2211984795101385
596	-1.2051751835450275
597	-1.386507009739539
598	-1.19456802929865
599	-1.2237049511789198
600	-1.2494379015867842
601	-1.1418006464594799
602	-1.2545503124369852
603	-1.172206471273158
604	-1.1533357466950016
605	-1.2325071542687005
606	-1.2674977207726388
607	-1.2123266613346046
608	-1.1514096775779574
609	-1.114892723598875
610	-1.1639955448497497
611	-1.0784764012142243
612	-1.162575138042994
613	-1.2965399159107296
614	-1.2672624714603906
615	-1.1213097026855352
616	-1.191740837805002
617	-1.20758824178833
618	-1.264009416995545
619	-1.2171807018181628
620	-1.2364310223394757
621	-1.1342667700857394
622	-1.1122925431849306
623	-1.1531732777938666
624	-1.1431034925785895
625	-1.2955890344471697
626	-1.2346594659978116
627	-1.226810469362675
628	-1.2623566776025492
629	-1.1697227012136258
630	-1.239520188175169
631	-1.1159804471101697
632	-1.1196608770682628
633	-1.1775077012143087
634	-1.2255391986298247
635	-1.1941807537554396
636	-1.2433196748959503
637	-1.1182473742066121
638	-1.2066381967284794
639	-1.1602412682128818
640	-1.2674773647388595
641	-1.1800653193232566
642	-1.2864697621817318
643	-1.300867939604945
644	-1.187330907975727
645	-1.1516553654427866
646	-1.2995484695051678
647	-1.2558985389456612
648	-1.2068674163074595
649	-1.2402864626832337
650	-1.30239819305627
651	-1.2587285697146942
652	-1.1100574125807063
653	-1.2520586071663247
654	-1.1242653859419127
655	-1.3067250131433772
656	-1.0950478532875172
657	-1.2991132487895776
658	-1.3055595676912817
659	-1.2177598837954922
660	-1.0981487122867533
661	-1.1519637591824825
662	-1.2627975799442392
663	-1.217362963761131
664	-1.2204772979797713
665	-1.2575166120025767
666	-1.2698728223105546
667	-1.5097768076880738
668	-1.1974796277141662
669	-1.0792761580968984
670	-1.2512591608360637
671	-1.247418191620532
672	-1.1757470538305472
673	-1.2289629248256175
674	-1.138835225691297
675	-1.1928724037597722
676	-1.2886056349424742
677	-1.2213316192466728
678	-1.2046971302285367
679	-1.243342574104856
680	-1.1258922205255764
681	-1.233145803201358
682	-1.2729087094877571
683	-1.127965467236863
684	-1.0859364269006417
685	-1.3399801859525153
686	-1.2187818265303636
687	-1.1339054941208926
688	-1.1834002990623675
689	-1.2642131054474277
690	-1.1280872657876693
691	-1.2258062011097839
692	-1.2591437794189688
693	-1.1249815802565974
694	-1.0438215988998774
695	-1.1529651572830741
696	-1.0557338947092574
697	-1.2477239974626584
698	-1.3113746285642116
699	-1.24424884427934
700	-1.2305182038081084
701	-1.224326954786091
702	-1.1911271549393585
703	-1.234489612729655
704	-1.0438458862800595
705	-1.2475502040846735
706	-1.1839461529090891
707	-1.2677559073291467
708	-1.174469560605667
709	-1.1851791496422994
710	-1.181431944040349
711	-1.2613382417236652
712	-1.177958818262455
713	-1.1411419191102856
714	-1.235707513018746
715	-1.1099428598680023
716	-1.124944336949419
717	-1.1294719207759538
718	-1.2142343961190105
719	-1.2506984695886747
720	-1.2166016321721285
721	-1.2725268116081043
722	-1.0677284572927537
723	-1.1190508268987283
724	-1.3211074678761727
725	-1.2142293284651768
726	-1.1823623863647925
727	-1.0907805228832634
728	-1.1556834751971867
729	-1.2782305051957763
730	-1.1912894306101545
731	-1.1523238346772113
732	-1.1760290256781358
733	-1.200005735156489
734	-1.2358613223346506
735	-1.2084586230321983
736	-1.207632562945127
737	-1.2087419050501396
738	-1.2019150503296903
739	-1.1964873250303465
740	-1.1470869648096853
741	-1.186351881269597
742	-1.3372457439235916
743	-1.159863928362252
744	-1.1719897976758746
745	-1.1848769330259
746	-1.1081104117021505
747	-1.096673397396473
748	-1.2363540248819478
749	-1.1906809257024418
750	-1.2087700512279635
751	-1.2689549734085277
752	-1.3701449658652305
753	-1.1796567933068631
754	-1.2409430599002735
755	-1.2185148994212072
756	-1.195919537587753
757	-1.151729119324157
758	-1.1843859712530054
759	-1.1740621959271706
760	-1.2393407414533275
761	-1.2385021290101375
762	-1.120223544987216
763	-1.2108517619780117
764	-1.206731506528639
765	-1.1640414995341053
766	-1.3310750275453507
767	-1.1452118435709986
